fecha_inicio,fecha_fin,dias_entre_fechas,dias_evaluados,dias_no_evaluados,hora_apertura,v_rango,v_espera,TP_Ticks,SL_ticks,Tipo_vela_rompimiento,duracion_vela,tick_size,dias_sin_entrada,TPs_alcanzados,SLs_alcanzados,Ticks_totales_TPs,Ticks_totales_SLs,Ticks_totales_estrategia,Margen_Utilidad_2,Absoluto_Ticks_totales,Margen_Utilidad
44938,45626,689,366,323,0.708333333,3,18,60,110,1,5,0.00001,128,154,84,9240,9240,0,0,0,0
44938,45626,689,366,323,0.708333333,3,18,60,360,1,5,0.00001,128,204,34,12240,12240,0,0,0,0
44938,45626,689,366,323,0.708333333,3,18,110,60,1,5,0.00001,128,84,154,9240,9240,0,0,0,0
44938,45626,689,366,323,0.708333333,3,18,160,160,1,5,0.00001,128,119,119,19040,19040,0,0,0,0
44938,45626,689,366,323,0.708333333,3,18,310,310,1,5,0.00001,128,119,119,36890,36890,0,0,0,0
44938,45626,689,366,323,0.708333333,6,1,310,310,1,5,0.00001,304,31,31,9610,9610,0,0,0,0
44938,45626,689,366,323,0.708333333,6,3,35,160,1,5,0.00001,249,96,21,3360,3360,0,0,0,0
44938,45626,689,366,323,0.708333333,6,3,160,35,1,5,0.00001,249,21,96,3360,3360,0,0,0,0
44938,45626,689,366,323,0.708333333,6,3,360,160,0,5,0.00001,301,20,45,7200,7200,0,0,0,0
44938,45626,689,366,323,0.708333333,6,12,110,35,0,5,0.00001,163,49,154,5390,5390,0,0,0,0
44938,45626,689,366,323,0.708333333,6,12,360,60,0,5,0.00001,163,29,174,10440,10440,0,0,0,0
44938,45626,689,366,323,0.708333333,12,1,135,135,1,5,0.00001,286,40,40,5400,5400,0,0,0,0
44938,45626,689,366,323,0.708333333,12,3,210,60,0,5,0.00001,267,22,77,4620,4620,0,0,0,0
44938,45626,689,366,323,0.708333333,12,18,110,110,0,5,0.00001,128,119,119,13090,13090,0,0,0,0
44938,45626,689,366,323,0.708333333,12,24,60,360,1,5,0.00001,114,216,36,12960,12960,0,0,0,0
44938,45626,689,366,323,0.708333333,12,24,110,110,0,5,0.00001,120,123,123,13530,13530,0,0,0,0
44938,45626,689,366,323,0.708333333,12,24,160,160,1,5,0.00001,114,126,126,20160,20160,0,0,0,0
44938,45626,689,366,323,0.708333333,18,1,210,210,0,5,0.00001,346,10,10,2100,2100,0,0,0,0
44938,45626,689,366,323,0.708333333,18,1,310,310,0,5,0.00001,346,10,10,3100,3100,0,0,0,0
44938,45626,689,366,323,0.708333333,18,1,335,335,0,5,0.00001,346,10,10,3350,3350,0,0,0,0
44938,45626,689,366,323,0.708333333,18,1,360,360,0,5,0.00001,346,10,10,3600,3600,0,0,0,0
44938,45626,689,366,323,0.708333333,18,3,260,260,1,5,0.00001,264,51,51,13260,13260,0,0,0,0
44938,45626,689,366,323,0.708333333,18,3,310,310,1,5,0.00001,264,51,51,15810,15810,0,0,0,0
44938,45626,689,366,323,0.708333333,18,6,185,185,0,5,0.00001,226,70,70,12950,12950,0,0,0,0
44938,45626,689,366,323,0.708333333,18,6,210,160,1,5,0.00001,181,80,105,16800,16800,0,0,0,0
44938,45626,689,366,323,0.708333333,18,18,35,35,1,5,0.00001,118,124,124,4340,4340,0,0,0,0
44938,45626,689,366,323,0.708333333,18,18,235,235,1,5,0.00001,118,124,124,29140,29140,0,0,0,0
44938,45626,689,366,323,0.708333333,18,24,235,360,0,5,0.00001,128,144,94,33840,33840,0,0,0,0
44938,45626,689,366,323,0.708333333,24,1,360,210,0,5,0.00001,309,21,36,7560,7560,0,0,0,0
44938,45626,689,366,323,0.708333333,24,18,85,85,0,5,0.00001,150,108,108,9180,9180,0,0,0,0
44938,45626,689,366,323,0.708333333,24,18,285,285,0,5,0.00001,150,108,108,30780,30780,0,0,0,0
44938,45626,689,366,323,0.708333333,24,18,310,310,0,5,0.00001,150,108,108,33480,33480,0,0,0,0
44938,45626,689,366,323,0.708333333,24,18,335,335,0,5,0.00001,150,108,108,36180,36180,0,0,0,0
44938,45626,689,366,323,0.708333333,24,24,160,360,1,5,0.00001,119,171,76,27360,27360,0,0,0,0
44938,45626,689,366,323,0.708333333,24,24,210,360,1,5,0.00001,119,156,91,32760,32760,0,0,0,0
44938,45626,689,366,323,0.75,0,3,135,135,0,5,0.00001,188,89,89,12015,12015,0,0,0,0
44938,45626,689,366,323,0.75,0,3,235,210,0,5,0.00001,188,84,94,19740,19740,0,0,0,0
44938,45626,689,366,323,0.75,0,3,285,160,0,5,0.00001,188,64,114,18240,18240,0,0,0,0
44938,45626,689,366,323,0.75,0,3,310,135,0,5,0.00001,188,54,124,16740,16740,0,0,0,0
44938,45626,689,366,323,0.75,0,6,235,235,1,5,0.00001,120,123,123,28905,28905,0,0,0,0
44938,45626,689,366,323,0.75,0,6,285,285,1,5,0.00001,120,123,123,35055,35055,0,0,0,0
44938,45626,689,366,323,0.75,0,6,360,360,0,5,0.00001,148,109,109,39240,39240,0,0,0,0
44938,45626,689,366,323,0.75,0,6,360,360,1,5,0.00001,120,123,123,44280,44280,0,0,0,0
44938,45626,689,366,323,0.75,0,12,210,210,0,5,0.00001,118,124,124,26040,26040,0,0,0,0
44938,45626,689,366,323,0.75,0,12,285,285,0,5,0.00001,118,124,124,35340,35340,0,0,0,0
44938,45626,689,366,323,0.75,0,12,285,335,0,5,0.00001,118,134,114,38190,38190,0,0,0,0
44938,45626,689,366,323,0.75,0,12,310,310,0,5,0.00001,118,124,124,38440,38440,0,0,0,0
44938,45626,689,366,323,0.75,0,18,110,110,0,5,0.00001,108,129,129,14190,14190,0,0,0,0
44938,45626,689,366,323,0.75,0,18,235,235,1,5,0.00001,108,129,129,30315,30315,0,0,0,0
44938,45626,689,366,323,0.75,0,18,285,285,0,5,0.00001,108,129,129,36765,36765,0,0,0,0
44938,45626,689,366,323,0.75,0,18,285,285,1,5,0.00001,108,129,129,36765,36765,0,0,0,0
44938,45626,689,366,323,0.75,0,18,285,360,1,5,0.00001,108,144,114,41040,41040,0,0,0,0
44938,45626,689,366,323,0.75,0,18,360,360,0,5,0.00001,108,129,129,46440,46440,0,0,0,0
44938,45626,689,366,323,0.75,0,24,110,110,0,5,0.00001,108,129,129,14190,14190,0,0,0,0
44938,45626,689,366,323,0.75,0,24,235,235,1,5,0.00001,108,129,129,30315,30315,0,0,0,0
44938,45626,689,366,323,0.75,0,24,285,285,0,5,0.00001,108,129,129,36765,36765,0,0,0,0
44938,45626,689,366,323,0.75,0,24,285,285,1,5,0.00001,108,129,129,36765,36765,0,0,0,0
44938,45626,689,366,323,0.75,0,24,285,360,1,5,0.00001,108,144,114,41040,41040,0,0,0,0
44938,45626,689,366,323,0.75,0,24,360,360,0,5,0.00001,108,129,129,46440,46440,0,0,0,0
44938,45626,689,366,323,0.75,3,3,60,235,1,5,0.00001,189,141,36,8460,8460,0,0,0,0
44938,45626,689,366,323,0.75,3,6,35,185,1,5,0.00001,146,185,35,6475,6475,0,0,0,0
44938,45626,689,366,323,0.75,3,18,260,260,1,5,0.00001,108,129,129,33540,33540,0,0,0,0
44938,45626,689,366,323,0.75,3,18,310,335,1,5,0.00001,108,134,124,41540,41540,0,0,0,0
44938,45626,689,366,323,0.75,3,24,260,260,1,5,0.00001,108,129,129,33540,33540,0,0,0,0
44938,45626,689,366,323,0.75,3,24,310,335,1,5,0.00001,108,134,124,41540,41540,0,0,0,0
44938,45626,689,366,323,0.75,3,24,360,285,0,5,0.00001,108,114,144,41040,41040,0,0,0,0
44938,45626,689,366,323,0.75,6,1,35,35,0,5,0.00001,328,19,19,665,665,0,0,0,0
44938,45626,689,366,323,0.75,6,1,185,185,0,5,0.00001,328,19,19,3515,3515,0,0,0,0
44938,45626,689,366,323,0.75,6,1,235,235,0,5,0.00001,328,19,19,4465,4465,0,0,0,0
44938,45626,689,366,323,0.75,6,1,260,260,0,5,0.00001,328,19,19,4940,4940,0,0,0,0
44938,45626,689,366,323,0.75,6,1,285,285,0,5,0.00001,328,19,19,5415,5415,0,0,0,0
44938,45626,689,366,323,0.75,6,6,310,310,0,5,0.00001,172,97,97,30070,30070,0,0,0,0
44938,45626,689,366,323,0.75,6,6,335,335,0,5,0.00001,172,97,97,32495,32495,0,0,0,0
44938,45626,689,366,323,0.75,6,6,360,360,0,5,0.00001,172,97,97,34920,34920,0,0,0,0
44938,45626,689,366,323,0.75,6,6,360,360,1,5,0.00001,130,118,118,42480,42480,0,0,0,0
44938,45626,689,366,323,0.75,6,24,285,285,0,5,0.00001,110,128,128,36480,36480,0,0,0,0
44938,45626,689,366,323,0.75,12,1,60,310,0,5,0.00001,292,62,12,3720,3720,0,0,0,0
44938,45626,689,366,323,0.75,12,1,210,210,1,5,0.00001,236,65,65,13650,13650,0,0,0,0
44938,45626,689,366,323,0.75,12,3,160,160,0,5,0.00001,228,69,69,11040,11040,0,0,0,0
44938,45626,689,366,323,0.75,12,6,160,160,0,5,0.00001,178,94,94,15040,15040,0,0,0,0
44938,45626,689,366,323,0.75,12,6,235,235,0,5,0.00001,178,94,94,22090,22090,0,0,0,0
44938,45626,689,366,323,0.75,12,12,135,210,0,5,0.00001,136,140,90,18900,18900,0,0,0,0
44938,45626,689,366,323,0.75,12,12,160,160,0,5,0.00001,136,115,115,18400,18400,0,0,0,0
44938,45626,689,366,323,0.75,12,18,210,210,0,5,0.00001,126,120,120,25200,25200,0,0,0,0
44938,45626,689,366,323,0.75,18,1,35,60,1,5,0.00001,290,48,28,1680,1680,0,0,0,0
44938,45626,689,366,323,0.75,18,1,160,160,1,5,0.00001,290,38,38,6080,6080,0,0,0,0
44938,45626,689,366,323,0.75,18,1,260,110,0,5,0.00001,329,11,26,2860,2860,0,0,0,0
44938,45626,689,366,323,0.75,18,1,310,60,0,5,0.00001,329,6,31,1860,1860,0,0,0,0
44938,45626,689,366,323,0.75,18,1,360,210,1,5,0.00001,290,28,48,10080,10080,0,0,0,0
44938,45626,689,366,323,0.75,18,3,60,210,1,5,0.00001,231,105,30,6300,6300,0,0,0,0
44938,45626,689,366,323,0.75,18,3,135,135,0,5,0.00001,282,42,42,5670,5670,0,0,0,0
44938,45626,689,366,323,0.75,18,3,285,285,0,5,0.00001,282,42,42,11970,11970,0,0,0,0
44938,45626,689,366,323,0.75,18,6,85,85,1,5,0.00001,178,94,94,7990,7990,0,0,0,0
44938,45626,689,366,323,0.75,18,12,110,360,0,5,0.00001,178,144,44,15840,15840,0,0,0,0
44938,45626,689,366,323,0.75,18,12,160,310,0,5,0.00001,178,124,64,19840,19840,0,0,0,0
44938,45626,689,366,323,0.75,18,12,185,285,0,5,0.00001,178,114,74,21090,21090,0,0,0,0
44938,45626,689,366,323,0.75,18,12,210,260,0,5,0.00001,178,104,84,21840,21840,0,0,0,0
44938,45626,689,366,323,0.75,18,18,160,160,0,5,0.00001,150,108,108,17280,17280,0,0,0,0
