fecha_inicio,fecha_fin,dias_evaluados,hora_apertura,v_rango,v_espera,TP_Ticks,SL_ticks,Tipo_vela_rompimiento,duracion_vela,tick_size,dias_sin_entrada,TPs_alcanzados,SLs_alcanzados,Ticks_totales_TPs,Ticks_totales_SLs,Ticks_totales_estrategia,Margen_Utilidad
44938,45626,366,17:00,0,1,210,110,0,5,0.00001,308,8,50,1680,5500,-3820,227.38
44938,45626,366,17:00,6,1,110,210,0,5,0.00001,337,25,4,2750,840,1910,227.38
44938,45626,366,17:00,24,3,260,35,0,5,0.00001,265,4,97,1040,3395,-2355,226.44
44938,45626,366,17:00,6,1,60,160,0,5,0.00001,337,26,3,1560,480,1080,225
44938,45626,366,20:00,12,3,210,35,0,5,0.00001,284,4,78,840,2730,-1890,225
44938,45626,366,21:00,24,1,60,360,1,5,0.00001,325,39,2,2340,720,1620,225
44938,45626,366,22:00,18,1,35,135,0,5,0.00001,339,25,2,875,270,605,224.07
44938,45626,366,10:00,24,3,160,35,0,5,0.00001,303,4,59,640,2065,-1425,222.66
44938,45626,366,15:00,12,6,310,60,0,5,0.00001,313,3,50,930,3000,-2070,222.58
44938,45626,366,17:00,24,1,335,60,0,5,0.00001,309,3,54,1005,3240,-2235,222.39
44938,45626,366,21:00,24,1,60,335,0,5,0.00001,347,18,1,1080,335,745,222.39
44938,45626,366,14:00,24,3,335,60,0,5,0.00001,347,1,18,335,1080,-745,222.39
44938,45626,366,13:00,24,3,310,35,1,5,0.00001,307,2,57,620,1995,-1375,221.77
44938,45626,366,13:00,24,3,160,235,0,5,0.00001,331,11,24,1760,5640,-3880,220.45
44938,45626,366,13:00,24,6,310,35,1,5,0.00001,278,3,85,930,2975,-2045,219.89
44938,45626,366,17:00,12,3,35,260,0,5,0.00001,267,95,4,3325,1040,2285,219.71
44938,45626,366,13:00,24,3,310,60,0,5,0.00001,331,2,33,620,1980,-1360,219.35
44938,45626,366,13:00,24,3,85,35,0,5,0.00001,331,4,31,340,1085,-745,219.12
44938,45626,366,21:00,24,1,335,285,0,5,0.00001,347,4,15,1340,4275,-2935,219.03
44938,45626,366,16:00,3,6,35,310,0,5,0.00001,249,113,4,3955,1240,2715,218.95
44938,45626,366,18:00,12,1,260,35,0,5,0.00001,292,3,71,780,2485,-1705,218.59
44938,45626,366,13:00,24,3,185,235,0,5,0.00001,331,10,25,1850,5875,-4025,217.57
44938,45626,366,13:00,24,6,160,35,0,5,0.00001,304,4,58,640,2030,-1390,217.19
44938,45626,366,21:00,24,1,185,110,0,5,0.00001,347,3,16,555,1760,-1205,217.12
44938,45626,366,17:00,18,1,60,285,0,5,0.00001,346,12,8,720,2280,-1560,216.67
44938,45626,366,21:00,3,1,210,35,0,5,0.00001,306,3,57,630,1995,-1365,216.67
44938,45626,366,14:00,12,3,310,35,0,5,0.00001,308,2,56,620,1960,-1340,216.13
44938,45626,366,15:00,18,3,310,60,1,5,0.00001,314,3,49,930,2940,-2010,216.13
44938,45626,366,22:00,18,1,160,135,1,5,0.00001,322,32,12,5120,1620,3500,216.05
44938,45626,366,15:00,12,6,185,35,0,5,0.00001,313,3,50,555,1750,-1195,215.32
44938,45626,366,17:00,6,1,110,110,0,5,0.00001,337,22,7,2420,770,1650,214.29
44938,45626,366,17:00,6,1,135,135,0,5,0.00001,337,22,7,2970,945,2025,214.29
44938,45626,366,09:00,24,3,35,260,1,5,0.00001,293,70,3,2450,780,1670,214.1
44938,45626,366,16:00,24,3,260,35,0,5,0.00001,293,3,70,780,2450,-1670,214.1
44938,45626,366,15:00,18,3,235,85,0,5,0.00001,337,3,26,705,2210,-1505,213.48
44938,45626,366,04:00,12,3,335,35,0,5,0.00001,304,2,60,670,2100,-1430,213.43
44938,45626,366,13:00,24,6,335,35,0,5,0.00001,304,2,60,670,2100,-1430,213.43
44938,45626,366,14:00,24,6,335,35,0,5,0.00001,335,1,30,335,1050,-715,213.43
44938,45626,366,13:00,6,3,35,310,0,5,0.00001,251,111,4,3885,1240,2645,213.31
44938,45626,366,15:00,12,6,285,35,0,5,0.00001,313,2,51,570,1785,-1215,213.16
44938,45626,366,13:00,24,6,235,35,1,5,0.00001,278,4,84,940,2940,-2000,212.77
44938,45626,366,23:00,18,1,60,85,0,5,0.00001,328,31,7,1860,595,1265,212.61
44938,45626,366,13:00,24,3,335,135,0,5,0.00001,331,4,31,1340,4185,-2845,212.31
44938,45626,366,15:00,18,3,260,60,0,5,0.00001,337,2,27,520,1620,-1100,211.54
44938,45626,366,15:00,12,6,185,60,0,5,0.00001,313,5,48,925,2880,-1955,211.35
44938,45626,366,21:00,24,1,60,35,0,5,0.00001,347,3,16,180,560,-380,211.11
44938,45626,366,21:00,24,1,360,210,0,5,0.00001,347,3,16,1080,3360,-2280,211.11
44938,45626,366,16:00,12,3,360,60,0,5,0.00001,307,3,56,1080,3360,-2280,211.11
44938,45626,366,17:00,24,1,310,35,0,5,0.00001,309,2,55,620,1925,-1305,210.48
44938,45626,366,17:00,6,1,135,210,0,5,0.00001,337,24,5,3240,1050,2190,208.57
44938,45626,366,08:00,12,3,35,360,0,5,0.00001,268,95,3,3325,1080,2245,207.87
44938,45626,366,21:00,24,1,235,85,0,5,0.00001,347,2,17,470,1445,-975,207.45
44938,45626,366,11:00,24,12,35,285,1,5,0.00001,210,150,6,5250,1710,3540,207.02
44938,45626,366,15:00,18,3,285,35,1,5,0.00001,314,2,50,570,1750,-1180,207.02
44938,45626,366,01:00,18,18,35,360,0,5,0.00001,138,221,7,7735,2520,5215,206.94
44938,45626,366,15:00,24,3,110,135,0,5,0.00001,324,12,30,1320,4050,-2730,206.82
44938,45626,366,13:00,24,3,185,260,0,5,0.00001,331,11,24,2035,6240,-4205,206.63
44938,45626,366,11:00,24,3,35,335,1,5,0.00001,275,88,3,3080,1005,2075,206.47
44938,45626,366,15:00,18,3,235,60,1,5,0.00001,314,4,48,940,2880,-1940,206.38
44938,45626,366,17:00,0,1,210,35,0,5,0.00001,308,3,55,630,1925,-1295,205.56
44938,45626,366,21:00,24,1,135,110,0,5,0.00001,347,4,15,540,1650,-1110,205.56
44938,45626,366,14:00,12,3,210,35,0,5,0.00001,308,3,55,630,1925,-1295,205.56
44938,45626,366,14:00,24,6,285,60,0,5,0.00001,335,2,29,570,1740,-1170,205.26
44938,45626,366,13:00,24,3,210,60,0,5,0.00001,331,3,32,630,1920,-1290,204.76
44938,45626,366,13:00,24,3,210,160,0,5,0.00001,331,7,28,1470,4480,-3010,204.76
44938,45626,366,13:00,24,12,360,35,0,5,0.00001,269,3,94,1080,3290,-2210,204.63
44938,45626,366,19:00,12,1,35,335,0,5,0.00001,336,29,1,1015,335,680,202.99
44938,45626,366,21:00,3,1,335,35,0,5,0.00001,306,2,58,670,2030,-1360,202.99
44938,45626,366,22:00,12,1,35,335,0,5,0.00001,336,29,1,1015,335,680,202.99
44938,45626,366,22:00,12,1,335,35,0,5,0.00001,336,1,29,335,1015,-680,202.99
44938,45626,366,14:00,18,3,335,35,0,5,0.00001,306,2,58,670,2030,-1360,202.99
44938,45626,366,17:00,0,1,210,60,0,5,0.00001,308,5,53,1050,3180,-2130,202.86
44938,45626,366,22:00,18,1,285,160,0,5,0.00001,339,17,10,4845,1600,3245,202.81
44938,45626,366,21:00,24,1,310,335,0,5,0.00001,347,5,14,1550,4690,-3140,202.58
44938,45626,366,17:00,6,1,85,135,0,5,0.00001,337,24,5,2040,675,1365,202.22
44938,45626,366,21:00,24,1,310,110,0,5,0.00001,347,2,17,620,1870,-1250,201.61
44938,45626,366,11:00,24,6,35,260,1,5,0.00001,249,112,5,3920,1300,2620,201.54
44938,45626,366,16:00,3,6,35,260,0,5,0.00001,249,112,5,3920,1300,2620,201.54
44938,45626,366,10:00,24,3,135,35,0,5,0.00001,303,5,58,675,2030,-1355,200.74
44938,45626,366,17:00,24,1,360,60,0,5,0.00001,309,3,54,1080,3240,-2160,200
44938,45626,366,19:00,18,1,210,35,1,5,0.00001,290,4,72,840,2520,-1680,200
44938,45626,366,21:00,24,1,60,360,0,5,0.00001,347,18,1,1080,360,720,200
44938,45626,366,22:00,18,1,160,160,1,5,0.00001,322,33,11,5280,1760,3520,200
44938,45626,366,23:00,18,1,35,210,0,5,0.00001,328,36,2,1260,420,840,200
44938,45626,366,23:00,18,1,60,360,0,5,0.00001,328,36,2,2160,720,1440,200
44938,45626,366,14:00,24,3,210,35,0,5,0.00001,347,1,18,210,630,-420,200
44938,45626,366,14:00,24,3,360,60,0,5,0.00001,347,1,18,360,1080,-720,200
44938,45626,366,15:00,18,6,260,60,0,5,0.00001,296,5,65,1300,3900,-2600,200
44938,45626,366,19:00,24,6,260,35,0,5,0.00001,273,4,89,1040,3115,-2075,199.52
44938,45626,366,21:00,24,1,85,360,1,5,0.00001,325,38,3,3230,1080,2150,199.07
44938,45626,366,22:00,18,1,35,160,1,5,0.00001,322,41,3,1435,480,955,198.96
